domain,query,expected_answer_text,generated_answer,expected_document_id,expected_chunk_id,top_source_title,top_document_id,top_chunk_id,source_match_at_3,chunk_match_at_3,prompt_tokens,completion_tokens,total_tokens,retriever_query_tokens,reranker_input_tokens,context_tokens,pipeline_total_tokens,tokens_are_estimated,correctness_score,correctness_reason,faithfulness_score,faithfulness_reason,relevancy_score,relevancy_reason,diagnosis,diagnosis_recommendation,latency_seconds
opening_hours,When is the Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth in 2024-2025 held at Fa Yuen Street Public Library?,2026/12/1 (Tuesday) to 2026/12/31 (Thursday),The Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth in 2024-2025 is held at Fa Yuen Street Public Library from 2026/12/1 (Tuesday) to 2026/12/31 (Thursday) during library opening hours.,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s2:c0:c6dac61db39e7087,Hong Kong Public Libraries - Reading Activities,afd45438-71b1-4fd1-9007-13ab2723360d,afd45438-71b1-4fd1-9007-13ab2723360d:v1:s2:c0:c6dac61db39e7087,True,True,542,69,611,37,1496,438,2144,False,4.0,"The generated answer is relevant and provides the correct dates matching the reference answer. However, it includes the phrase ""during library opening hours,"" which is an assumption not present in the reference answer. While likely true in reality, adding unverified details slightly reduces the precision compared to a strict adherence to the provided reference.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",2.0557
opening_hours,When is the Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth held at Chai Wan Public Library?,2026/11/1 (Sunday) to 2026/11/24 (Tuesday),The Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth is held at Chai Wan Public Library from 2026/11/1 (Sunday) to 2026/11/24 (Tuesday) during library opening hours.,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s3:c0:1e5b3fd6c0b41bd8,Hong Kong Public Libraries - Reading Activities,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s3:c0:1e5b3fd6c0b41bd8,True,True,530,57,587,25,1333,438,1945,False,5.0,"The generated answer is fully relevant and correct, providing the exact same dates as the reference answer while adding the helpful context of ""during library opening hours.""",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.8014
opening_hours,When is the Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth held at Lam Tin Public Library?,2026/10/1 (Thursday) to 2026/10/26 (Monday),The Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth is held at Lam Tin Public Library from 2026/10/1 (Thursday) to 2026/10/26 (Monday) during library opening hours.,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s4:c0:8e2302e6949fd9e7,Hong Kong Public Libraries - Reading Activities,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s4:c0:8e2302e6949fd9e7,True,True,529,56,585,24,1323,438,1932,False,5.0,"The generated answer is fully relevant and correct, providing the exact same dates as the reference answer while adding the helpful context of ""during library opening hours.""",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.7947
events,"What are the dates, time, and venue for the Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth in 2024-2025?","2026/9/1 (Tuesday) to 2026/9/24 (Thursday), Library Opening Hours, Yuen Chau Kok Public Library","The Roving Exhibition on Reading Supernova of Reading Programme for Children and Youth in 2024-2025 is held at the following venues with the corresponding dates and times:

*   **Chai Wan Public Library**: 2026/11/1 (Sunday) to 2026/11/24 (Tuesday)
*   **Lam Tin Public Library**: 2026/10/1 (Thursday) to 2026/10/26 (Monday)
*   **Yuen Chau Kok Public Library**: 2026/9/1 (Tuesday) to 2026/9/24 (Thursday)

The time for all exhibitions is **Library Opening Hours**.",168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s5:c0:63f1edb935b9af39,Hong Kong Public Libraries - Reading Activities,168ef7c9-d20f-41ef-a1f7-922e3693c951,168ef7c9-d20f-41ef-a1f7-922e3693c951:v1:s3:c0:1e5b3fd6c0b41bd8,True,True,539,164,703,37,1213,435,1953,False,4.0,"The generated answer is relevant and fully correct, providing the specific dates, times, and venues for the exhibition as requested. It actually outperforms the reference answer by listing multiple venues rather than just one, offering a more comprehensive response to the user's query. The only minor deduction from a perfect 5.0 is that the reference answer was more concise, but the generated answer's additional detail adds value without introducing errors.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",3.5059
e_resources,What is the minimum reading duration for each e-book in the Hong Kong Public Libraries' Digital Collection?,at least three months,The minimum reading duration for each e-book in the Hong Kong Public Libraries' Digital Collection is at least three months.,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s0:c0:60ab4053f5f7c8e0,Hong Kong Public Libraries -e-Books,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s1:c0:a6eb0b9c688d5d95,True,True,859,23,882,20,1134,772,2036,False,5.0,"The generated answer is fully relevant and correct, matching the reference answer exactly while providing a complete sentence structure.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.4247
e_resources,What mobile app can readers use to download Chinese e-books for offline reading?,Libby mobile app,Readers can use the **Libby** mobile app to download Chinese e-books for offline reading. This applies to both the **OverDrive Chinese eBooks (Simplified Chinese)** and **OverDrive Chinese eBooks (Traditional Chinese)** collections.,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s10:c0:939a976b6a512ee9,Hong Kong Public Libraries -e-Books,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s11:c0:34deca8161a1aba5,True,True,1016,47,1063,15,2281,934,3359,False,4.0,"The generated answer is relevant and correct, providing specific details about the app (Libby) and the specific collections available (OverDrive Chinese eBooks). It is slightly more detailed than the reference answer, which is acceptable, though it could be considered slightly verbose for such a simple query.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",2.057
e_resources,Which mobile app can be used to download OverDrive Chinese eBooks (Simplified Chinese) for offline reading?,Libby mobile app,Readers may download OverDrive Chinese eBooks (Simplified Chinese) for offline reading via the Libby mobile app.,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s11:c0:34deca8161a1aba5,Hong Kong Public Libraries -e-Books,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s11:c0:34deca8161a1aba5,True,True,1230,23,1253,21,2038,1142,3312,False,5.0,"The generated answer is fully relevant and correct. It accurately identifies the Libby mobile app as the tool for downloading OverDrive Chinese eBooks for offline reading, matching the reference answer while providing a complete sentence.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.7461
e_resources,What topics are covered in the Popular Good Reads@SUEP e-book collection?,"literature and fiction, household knowledge, spiritual support, humanities and social science, business and economics, as well as medicines and healthcare","The Popular Good Reads@SUEP e-book collection covers topics such as literature and fiction, household knowledge, spiritual support, humanities and social science, business and economics, as well as medicines and healthcare.",19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s12:c0:7c2a61cd6a4087f7,Hong Kong Public Libraries -e-Books,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s12:c0:7c2a61cd6a4087f7,True,True,1386,41,1427,17,2181,1302,3625,False,5.0,"The generated answer is fully relevant and matches the reference answer exactly, providing a complete and accurate list of the topics covered in the e-book collection.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.6929
e_resources,Which company offers the SUEP e-Book collection through the 'Nowbook Digital Library' e-Book platform?,Sino United Electronic Publishing Ltd. (SUEP),"The SUEP e-Book collection is offered by Sino United Electronic Publishing Ltd. (SUEP) through the ""Nowbook Digital Library"" e-Book platform.",19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s14:c0:c8a0ace09078699f,Hong Kong Public Libraries -e-Books,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s14:c0:c8a0ace09078699f,True,True,1031,36,1067,24,2243,940,3334,False,5.0,"The generated answer is fully relevant and correct, accurately identifying the company as Sino United Electronic Publishing Ltd. (SUEP) and confirming the platform name, matching the reference answer perfectly.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.5346
e_resources,What feature does the Boundless e-database offer to help readers track their reading progress and set goals?,a personalised page for readers to track the progress and set goals for reading,The Boundless e-database features a personalised page for readers to track the progress and set goals for reading.,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s16:c0:f8d6f74f59790714,Hong Kong Public Libraries -e-Books,19afe8e9-570c-4e4e-b2dd-e192b485a0e5,19afe8e9-570c-4e4e-b2dd-e192b485a0e5:v1:s16:c0:f8d6f74f59790714,True,True,444,22,466,21,987,356,1474,False,5.0,"The generated answer is identical in meaning to the reference answer, directly addressing the user's query with accurate information and appropriate detail.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.1561
general,What is the email address to send questions or comments about the Library Catalogue?,libcu@lcsd.gov.hk,I don't have that information in my knowledge base.,1cad770b-dfea-4de2-abc0-23e1fed42052,1cad770b-dfea-4de2-abc0-23e1fed42052:v1:s0:c0:8931e80cc536fa94,Hong Kong Public Libraries - Internet Reference Enquiry Service,92f274b8-c6c6-4258-8f71-159644988e5b,92f274b8-c6c6-4258-8f71-159644988e5b:v1:s1:c0:1dc9645bd5f59fe9,False,False,1102,11,1113,16,1568,1019,2697,False,2.0,"The generated answer is relevant because it correctly identifies that the specific information requested is not available in the model's current knowledge base, rather than hallucinating a fake email address. However, it is not fully correct or helpful because it fails to provide the actual answer (libcu@lcsd.gov.hk) which is present in the reference answer. Since the model could not retrieve the fact despite it being a known public record, it results in a partial failure to answer the user's query, warranting a score between 2 and 3.",0.0,NO,1.0,YES,retrieval_problem,"Expected document was not retrieved by PGVector. Check embeddings, query wording, ingestion, or increase SIMILARITY_TOP_K.",1.3789
services,How can I pay library fines and fees online?,by credit card,"You can pay library fines and fees online by credit card. Additionally, you can pay overdue fines and reservation fees using mobile payment services through the official mobile app ""My Library"".",281175b0-6ffe-4ecd-9450-1331022ec044,281175b0-6ffe-4ecd-9450-1331022ec044:v1:s0:c0:f9eae65831ed5869,Hong Kong Public Libraries - I Want To...,281175b0-6ffe-4ecd-9450-1331022ec044,281175b0-6ffe-4ecd-9450-1331022ec044:v1:s0:c0:f9eae65831ed5869,True,True,912,35,947,10,1527,835,2484,False,5.0,"The generated answer is fully relevant and correct. It directly addresses the user's question about paying online by mentioning credit cards, and it provides additional helpful information about mobile payment services via an official app, which enhances the response without introducing errors.",0.0,NO,0.0,NO,evaluator_or_dataset_issue,Answer appears mostly correct but evaluator score is low. Check evaluator strictness or dataset wording.,1.886
events,What is the phone number for the 24-hour Telephone Renewal Service?,2827 2833 / 2698 0002,The phone numbers for the 24-hour Telephone Renewal Service are 2698 0002 and 2827 2833.,2ccd9b41-566a-4278-8826-e5d0b7ad2713,2ccd9b41-566a-4278-8826-e5d0b7ad2713:v1:s0:c0:6c312a2062daf936,Hong Kong Public Libraries - Internet Reference Enquiry Service,92f274b8-c6c6-4258-8f71-159644988e5b,92f274b8-c6c6-4258-8f71-159644988e5b:v1:s1:c1:dfb7d81822efcfaf,True,True,1167,36,1203,16,1513,1084,2732,False,5.0,"The generated answer is fully relevant and correct, providing both phone numbers listed in the reference answer with accurate formatting.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.9276
general,What are the available languages for making enquiries or complaints when calling the HKPL Customer Hotline or '1823'?,"Cantonese, Putonghua or English","When calling the HKPL Customer Hotline or ""1823"", you can choose to use Cantonese, Putonghua or English to make your enquiries or complaints.",2ccd9b41-566a-4278-8826-e5d0b7ad2713,2ccd9b41-566a-4278-8826-e5d0b7ad2713:v1:s0:c1:f6a18d9acbe3e4df,Hong Kong Public Libraries - Contact Us,2ccd9b41-566a-4278-8826-e5d0b7ad2713,2ccd9b41-566a-4278-8826-e5d0b7ad2713:v1:s0:c1:f6a18d9acbe3e4df,True,True,1113,34,1147,25,1640,1022,2812,False,5.0,"The generated answer is fully relevant and correct, accurately listing the three available languages (Cantonese, Putonghua, and English) as stated in the reference answer, while also providing a complete sentence that directly addresses the user's query.",0.0,NO,0.0,NO,evaluator_or_dataset_issue,Answer appears mostly correct but evaluator score is low. Check evaluator strictness or dataset wording.,1.836
general,Which Hong Kong Public Libraries are available for the Dragonsource Qikan Reading Service?,All Hong Kong Public Libraries (excluding mobile libraries),"The Dragonsource Qikan Reading Service is available at all Hong Kong Public Libraries, excluding mobile libraries, and via Remote Access.",2df9f701-76b1-4b9d-8417-82b2ed1bc24e,2df9f701-76b1-4b9d-8417-82b2ed1bc24e:v1:s1:c0:3b70886890e2b11a,Hong Kong Public Libraries - e-Databases - search by subject,2df9f701-76b1-4b9d-8417-82b2ed1bc24e,2df9f701-76b1-4b9d-8417-82b2ed1bc24e:v1:s1:c0:3b70886890e2b11a,True,True,548,25,573,16,1172,465,1761,False,5.0,"The generated answer is fully relevant and correct. It accurately confirms the availability at all Hong Kong Public Libraries while correctly noting the exclusion of mobile libraries. Additionally, it provides valuable extra information regarding Remote Access, which enhances the answer without introducing errors.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.3235
general,Where is the Flipster magazine service available?,All Hong Kong Public Libraries (excluding mobile libraries) and Remote Access,The Flipster magazine service is available at all Hong Kong Public Libraries (excluding mobile libraries) and via Remote Access.,2df9f701-76b1-4b9d-8417-82b2ed1bc24e,2df9f701-76b1-4b9d-8417-82b2ed1bc24e:v1:s2:c0:b32bef0bdbfec3fb,Hong Kong Public Libraries - e-Databases - search by subject,2df9f701-76b1-4b9d-8417-82b2ed1bc24e,2df9f701-76b1-4b9d-8417-82b2ed1bc24e:v1:s2:c0:b32bef0bdbfec3fb,True,True,792,23,815,9,1013,716,1837,False,5.0,"The generated answer is fully relevant and correct, accurately reflecting the availability of the Flipster magazine service at all Hong Kong Public Libraries (excluding mobile libraries) and via Remote Access, matching the reference answer perfectly.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.381
facilities,Which accessible facility at Hong Kong Public Libraries is specifically designed to assist individuals with hearing impairments in receiving emergency alarm information?,Audio and visual signals of the emergency alarm systems,"Based on the retrieved context, the accessible facility specifically designed to assist individuals with hearing impairments in receiving emergency alarm information is the **Audio and visual signals of the emergency alarm systems**.

This is listed under the ""Library Barrier-free Facilities"" section in Source 1, which details facilities provided to cater to the needs of all individuals, including those with hearing impairments.",2f176e87-cbe0-4858-8d63-1003bddd2c9a,2f176e87-cbe0-4858-8d63-1003bddd2c9a:v1:s0:c0:60c3216125689595,Hong Kong Public Libraries - Library Barrier-free Facilities,2f176e87-cbe0-4858-8d63-1003bddd2c9a,2f176e87-cbe0-4858-8d63-1003bddd2c9a:v1:s0:c0:60c3216125689595,True,True,384,74,458,24,689,293,1171,False,5.0,"The generated answer is fully relevant and correct. It accurately identifies the specific facility (audio and visual signals) mentioned in the reference answer and provides additional context by citing the source section, which enhances the response without introducing any errors.",1.0,YES,1.0,YES,working_correctly,"Retrieval, reranking, context construction, and generation look acceptable.",1.9192
